ra,dec,parallax,pmra,pmdec,RV,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP,FEH,FEH_err,CFE,CFE_err,CIFE,CIFE_err,NFE,NFE_err,OFE,OFE_err,MGFE,MGFE_err,ALFE,ALFE_err,SIFE,SIFE_err,PFE,PFE_err,SFE,SFE_err,KFE,KFE_err,CAFE,CAFE_err,TIFE,TIFE_err,TIIIFE,TIIIFE_err,VFE,VFE_err,CRFE,CRFE_err,MNFE,MNFE_err,COFE,COFE_err,NIFE,NIFE_err,J,K,H
206.626636,25.750942,0.552075743675232,-0.094652570784092,-3.08809590339661,44.7636985778809,12.064418,0.002765,12.563337,0.002825,11.407443,0.003793,1.155894,-0.392506152391434,0.025161812081933,0.0936510562896729,0.0299234837293625,0.128143191337585,0.0401870086789131,0.119029819965363,0.0390899479389191,0.28303998708725,0.0412065722048283,0.291334807872772,0.0350048951804638,0.300542414188385,0.0512708947062492,0.204646900296211,0.0329041332006455,0.277406007051468,0.409863263368607,0.230688735842705,0.0310593210160732,0.257765769958496,0.0443762168288231,0.12566152215004,0.0365498438477516,0.135732710361481,0.0387410633265972,0.337131172418594,0.0555321350693703,0.0383585691452026,0.0809500217437744,-0.0222121477127075,0.039505772292614,-0.108032196760178,0.0444936417043209,0.128601461648941,0.0389799661934376,0.0549431443214417,0.0360474213957787,10.5509996414185,10.0200004577637,9.93200016021729
206.630774,25.562185,0.685392200946808,-21.5530967712402,-13.5212898254395,6.70377159118652,12.986156,0.002761,13.415469,0.002838,12.388290,0.003797,1.027179,-0.831591010093689,0.0829780995845795,0.0132666230201721,0.117525868117809,0.0817679762840271,0.113314986228943,0.0352185368537903,0.152283608913422,0.358404994010925,0.121390730142593,0.268814921379089,0.106820493936539,0.235046207904816,0.131504476070404,0.230153560638428,0.105479381978512,0.0463544726371765,1.30316841602325,0.210518598556519,0.124375306069851,0.239987254142761,0.154639378190041,0.196973621845245,0.111234299838543,0.0894255638122559,0.15722468495369,0.152281165122986,0.119319900870323,0.127401947975159,0.13990992307663,-0.129185199737549,0.180068731307983,-0.222707271575928,0.148874893784523,-0.344324469566345,0.553403496742249,0.0723631381988525,0.115100271999836,11.6280002593994,11.2030000686646,11.1000003814697
206.631772,24.552044,4.26132440567017,-28.7203388214111,9.13629817962647,-22.1395320892334,12.486258,0.002765,12.925093,0.002849,11.891229,0.003796,1.033864,0.105207957327366,0.0473086014389992,-0.0110386982560158,0.062225479632616,-0.0445042923092842,0.0669002458453178,0.069551132619381,0.0789872780442238,-0.00471916794776917,0.0667591989040375,-0.00492601096630096,0.0653762295842171,0.0222270712256432,0.0795983076095581,0.00524108856916428,0.0754740387201309,0.283808976411819,1.53141558170319,-0.125685259699821,0.0532016381621361,0.0134714916348457,0.075024276971817,0.023981548845768,0.0625238716602325,0.0449915155768395,0.0606637261807919,-0.18372455239296,0.133114352822304,0.0502660945057869,0.0991504117846489,0.0634472891688347,0.0834460854530335,0.0456164702773094,0.0926427021622658,0.013907328248024,0.0591853186488152,0.0719177350401878,0.0723061859607697,11.2270002365112,10.7530002593994,10.6909999847412
206.632462,27.101536,2.27436137199402,-20.6279850006104,-10.5532217025757,-32.7065544128418,15.135320,0.002763,15.772440,0.003114,14.368004,0.003867,1.404436,-0.242757558822632,0.0694685503840447,0.0142677575349808,0.1086370870471,-0.0467086732387543,0.162604510784149,0.160089075565338,0.117555133998394,0.0357159823179245,0.104589864611626,0.0667199790477753,0.0973293781280518,-0.00753122568130493,0.1203648224473,-0.0402019023895264,0.101799316704273,0.593741953372955,1.97999835014343,-0.151312321424484,0.137490004301071,0.0491181910037994,0.151843100786209,0.095583438873291,0.0890403017401695,0.0513492077589035,0.0955737009644508,-0.100149691104889,0.250039964914322,-0.180366605520248,0.209834456443787,0.177930667996407,0.109869077801704,0.033227801322937,0.133400231599808,0.00588610768318176,0.0887089669704437,0.0942532122135162,0.105935357511044,13.4449996948242,12.7889995574951,12.7360000610352
206.635851,27.715687,3.73024106025696,-69.1621322631836,22.8241691589355,-24.2974834442139,14.829058,0.002764,15.663159,0.003500,13.930057,0.003869,1.733103,-0.431251585483551,0.126560360193253,-0.119477510452271,0.209454447031021,-0.386897563934326,0.322432637214661,0.202584326267242,0.187635913491249,0.0201583802700043,0.171344488859177,0.0534853637218475,0.165847659111023,-0.0816741585731506,0.185055837035179,-0.0686957538127899,0.169542089104652,0.473068118095398,5.23414993286133,-0.190925121307373,0.205275863409042,0.0560330152511597,0.250923216342926,0.120952874422073,0.157194688916206,0.0286130607128143,0.167767509818077,-0.195532262325287,0.369396269321442,-0.332090497016907,0.277723610401154,0.267781168222427,0.16206231713295,0.00288936495780945,0.192964747548103,-0.039542019367218,0.158312097191811,0.083604633808136,0.176626995205879,12.8190002441406,12.1909999847412,12.0170001983643
206.638689,27.02714,1.22173130512238,3.01692748069763,-2.27585673332214,-1.35340106487274,12.758955,0.002763,13.237760,0.002831,12.121634,0.003804,1.116125,-0.101015202701092,0.0329043567180634,-0.0171240195631981,0.0447288565337658,-0.0308720394968987,0.0454453453421593,-0.0234490856528282,0.0628437623381615,0.0529673472046852,0.0687022060155869,0.100721381604671,0.0442350022494793,0.103374168276787,0.0688701346516609,0.0513860881328583,0.0458516925573349,0.201023042201996,0.774942815303803,0.0589396953582764,0.0450643487274647,0.104523941874504,0.0608118250966072,0.0581855401396751,0.0442484356462956,0.0510958023369312,0.0473688282072544,0.0338556244969368,0.0712116062641144,-0.0012938529253006,0.0994940251111984,0.0394649282097817,0.0699542537331581,-0.00985122472047806,0.068077065050602,-0.123803026974201,0.192882940173149,0.0590991713106632,0.0537615716457367,11.3649997711182,10.8430004119873,10.7880001068115
206.639452,31.660357,5.41082191467285,-39.7773475646973,-32.130256652832,-22.8719673156738,14.046386,0.002771,14.886068,0.003051,13.146328,0.003870,1.739740,-0.358888864517212,0.132182404398918,0.0461487770080566,0.182575419545174,-0.438376009464264,0.335886001586914,0.209589183330536,0.196373015642166,-0.035306990146637,0.184275642037392,-0.00844663381576538,0.175036862492561,-0.110213577747345,0.202433198690414,-0.113710522651672,0.179022073745728,0.375183165073395,6.02490377426148,-0.0525020658969879,0.184676140546799,0.0774581730365753,0.322468906641006,0.084457129240036,0.165490716695786,-0.00114378333091736,0.173406332731247,-0.206582903862,0.522296667098999,-0.269817531108856,0.28723019361496,0.197089105844498,0.186046347022057,-0.0198367834091187,0.189226150512695,-0.184203326702118,0.283290505409241,0.0678687691688538,0.181606024503708,12.0480003356934,11.4119997024536,11.246000289917
206.639614,24.742983,7.6817831993103,-90.430061340332,-26.3421249389648,-0.86308366060257,11.786315,0.002765,12.282064,0.002824,11.132229,0.003795,1.149836,-0.0863133668899536,0.0554323382675648,-0.0395814329385757,0.0855938196182251,-0.255280792713165,0.16025310754776,-0.0303085148334503,0.093672901391983,0.0138855054974556,0.0795068666338921,0.0413870736956596,0.0753917619585991,-0.00208649784326553,0.094104990363121,-0.0177596062421799,0.0790615454316139,0.564491212368012,2.67303061485291,-0.0962167084217072,0.0967641770839691,0.011918805539608,0.127776131033897,0.0757120698690414,0.0660094097256661,0.0367281250655651,0.0684283226728439,-0.0913424789905548,0.164692774415016,-0.171173125505447,0.179888963699341,0.180000826716423,0.0796364545822144,0.022079236805439,0.115045234560966,-0.135998666286469,0.205901488661766,0.0725668743252754,0.0742959380149841,10.3620004653931,9.85400009155273,9.7480001449585
206.64131,25.30205,6.12477731704712,-6.81240606307983,-25.5331115722656,-10.5035552978516,11.189461,0.002767,11.591042,0.002816,10.624619,0.003794,0.966423,0.287669152021408,0.0517763085663319,-0.00630021095275879,0.0676629468798637,-0.0535591840744019,0.0734799802303314,0.212980419397354,0.0917356237769127,-0.0344128608703613,0.0692152455449104,0.0102435946464539,0.0703627616167069,0.0709500312805176,0.0818250626325607,-0.00293588638305664,0.0739600211381912,0.0517919361591339,0.779220938682556,-0.127907648682594,0.0607088692486286,0.00858324766159058,0.07777538895607,-0.00638547539710999,0.0653147697448731,0.0199836194515228,0.0836365446448326,-0.240169405937195,0.132051527500153,0.0979657471179962,0.111934006214142,0.0150274336338043,0.0758296549320221,0.0557901561260223,0.0883550569415093,-0.032031774520874,0.0811994299292564,0.087518036365509,0.0839647054672241,10.0159997940063,9.64599990844727,9.53800010681152
206.642746,28.559669,0.195025414228439,-0.906397640705109,-13.5018892288208,-205.726165771484,14.169792,0.002761,14.595477,0.002919,13.567437,0.003832,1.028040,-1.28418099880219,0.160515397787094,-0.0983666181564331,0.233118087053299,0.0483313798904419,0.223832622170448,0.176379799842834,0.271125227212906,0.334041118621826,0.220388695597649,0.27209210395813,0.204154297709465,0.0079575777053833,0.277290940284729,0.257047653198242,0.207871660590172,-0.180583834648132,3.37133455276489,0.349718749523163,0.209646284580231,0.188042163848877,0.283682554960251,0.153692960739136,0.217548325657845,-0.0382688045501709,0.269321084022522,0.190421342849731,0.216863483190537,0.0578702688217163,0.23593245446682,-0.118291616439819,0.246167346835136,-0.309735655784607,0.259139060974121,-0.148351311683655,0.3730388879776,-0.0107017755508423,0.222190737724304,12.831000328064,12.3439998626709,12.2770004272461
