ra,dec,parallax,pmra,pmdec,RV,FEH,FEH_err,CFE,CFE_err,CIFE,CIFE_err,NFE,NFE_err,OFE,OFE_err,MGFE,MGFE_err,ALFE,ALFE_err,SIFE,SIFE_err,PFE,PFE_err,SFE,SFE_err,KFE,KFE_err,CAFE,CAFE_err,TIFE,TIFE_err,TIIIFE,TIIIFE_err,VFE,VFE_err,CRFE,CRFE_err,MNFE,MNFE_err,COFE,COFE_err,NIFE,NIFE_err,J,K,H
200.385175,-47.726826,0.5558039546012880,-8.595734596252440,-1.2973259687423700,-44.32926940917970,0.20029743015766100,0.030096571892499900,0.013998255133628800,0.04631172493100170,-0.09610290825366970,0.053479939699173000,0.1652291864156720,0.043397512286901500,0.04148051142692570,0.03987232968211170,0.06507827341556550,0.04576104134321210,0.04743596911430360,0.046843521296978,0.05453281104564670,0.0589943453669548,0.019961103796958900,0.593803882598877,-0.07154522836208340,0.03549840673804280,0.06477166712284090,0.0534849613904953,0.014404356479644800,0.039533909410238300,0.07474558055400850,0.0436038002371788,-0.10623306035995500,0.07953375577926640,-0.06894153356552120,0.08996473252773290,0.07666610181331640,0.04346084222197530,0.038577333092689500,0.052220843732357000,0.02171476185321810,0.0429079495370388,0.02199392020702360,0.040781065821647600,12.720000267028800,12.168999671936000,12.079999923706100
200.395285,-47.982018,0.9895311594009400,-5.633880615234380,-8.500288963317870,-11.531135559082000,-0.2327505499124530,0.017552152276039100,-0.1349726766347890,0.03175269812345510,-0.16426725685596500,0.04259943962097170,0.24910196661949200,0.02307295612990860,0.07568702101707460,0.026236414909362800,0.05002753436565400,0.026891279965639100,0.05371968448162080,0.03659900277853010,0.041972801089286800,0.02545488066971300,0.05422063171863560,0.740236759185791,0.06932801008224490,0.024165906012058300,0.042436689138412500,0.0448947437107563,0.019304215908050500,0.030747903510928200,-0.006889119744300840,0.03541932255029680,0.10653020441532100,0.035553939640522,-0.22489918768405900,0.09808376431465150,-0.012803450226783800,0.039112262427806900,-0.01510341465473180,0.0351322740316391,0.045952603220939600,0.024380266666412400,0.00025866925716400100,0.029198717325925800,7.901000022888180,7.236000061035160,7.067999839782720
200.399999,-48.067432,0.3470281660556790,-4.550825119018560,0.6607189178466800,-9.355607032775880,-0.8689898252487180,0.05430533364415170,-0.04229778051376340,0.09164027869701390,0.06441587209701540,0.08627419918775560,0.025513827800750700,0.0992555171251297,0.37679359316825900,0.08357816934585570,0.3760744333267210,0.07512272149324420,0.2882269024848940,0.10813412070274400,0.2872244119644170,0.0785738080739975,0.11928236484527600,0.48137032985687300,0.3681451678276060,0.07192201912403110,0.35646891593933100,0.09103502333164220,0.21505069732666000,0.07246913015842440,0.14529949426651,0.09637946635484700,0.3262863755226140,0.07916959375143050,0.07567554712295530,0.12060178071260500,-0.08323293924331670,0.1296553760766980,-0.219931960105896,0.10451821237802500,0.15815210342407200,0.06952082365751270,0.05600869655609130,0.082801453769207,11.012999534606900,10.404999732971200,10.258000373840300
200.409133,-47.965187,0.9842173457145690,-4.125945091247560,-3.3822999000549300,13.50500202178960,0.12822793424129500,0.026578668504953400,-0.1278015524148940,0.03314073011279110,-0.1247938722372060,0.04198341444134710,0.3741881251335140,0.06896766275167470,-0.016375787556171400,0.03592989221215250,0.011376991868019100,0.0364997535943985,0.05128350853919980,0.03808266296982770,0.042720600962638900,0.050925787538290000,-0.025960907340049700,0.7176716923713680,-0.010796025395393400,0.04494699090719220,0.018124938011169400,0.043034859001636500,-0.03328320384025570,0.03671146184206010,0.012444987893104600,0.03830472007393840,0.01316767930984500,0.03755847364664080,-0.06936945021152500,0.0665283128619194,0.001933366060256960,0.04475241154432300,0.010960713028907800,0.047807253897190100,0.030116870999336200,0.0334644690155983,-0.024116888642311100,0.03746786341071130,8.795999526977540,8.243000030517580,8.083000183105470
200.414145,-48.04874,0.03585883602499960,-0.9017962217330930,-1.6925528049469000,78.81133270263670,-1.1338480710983300,0.0960068628191948,-0.4039674997329710,0.19774772226810500,-0.14626216888427700,0.20453748106956500,0.1262221336364750,0.15058989822864500,0.255445659160614,0.13506142795085900,0.22506201267242400,0.14165396988391900,-0.07398176193237310,0.21676188707351700,0.17761242389679000,0.13843564689159400,0.052698731422424300,1.3940246105194100,0.332932710647583,0.122988261282444,0.18089312314987200,0.14094178378582,0.13407599925994900,0.13340377807617200,-0.026512503623962400,0.12646174430847200,0.359336793422699,0.16381965577602400,-0.05424356460571290,0.2057512253522870,-0.15516459941864000,0.21042174100875900,-0.22387874126434300,0.18003618717193600,-0.41246962547302200,0.5056596994400020,-0.039267539978027300,0.1506664901971820,12.793000221252400,12.100000381469700,11.925000190734900
200.419351,-47.582218,0.4005371332168580,-4.232854843139650,-0.8460716605186460,-51.67947006225590,-0.20587289333343500,0.022375719621777500,-0.15679624676704400,0.04332705959677700,-0.16152095794677700,0.05719774588942530,0.3075787127017980,0.04258417338132860,0.08481849730014800,0.032843854278326000,0.10335411131382000,0.03692708536982540,0.08350588381290440,0.045766957104206100,0.07458053529262540,0.028975239023566200,0.10986059904098500,0.560748279094696,0.1331098973751070,0.040867045521736100,0.1496085524559020,0.06545578688383100,0.022661298513412500,0.035247109830379500,0.00024275481700897200,0.03744911774992940,0.13540677726268800,0.03573693335056310,-0.05505433678627010,0.06372737139463430,-0.03952211141586300,0.043653808534145400,-0.02799364924430850,0.04191463813185690,0.06763625144958500,0.033593807369470600,0.007961899042129520,0.03269549459218980,10.829000473022500,10.267000198364300,10.14799976348880
200.421975,-47.801323,0.3021397590637210,-1.3168607950210600,-1.138496994972230,41.872955322265600,0.2595852315425870,0.03614022955298420,-0.1426592767238620,0.055361829698085800,-0.20026031136512800,0.059374645352363600,0.5607285499572750,0.1163959801197050,0.010689347982406600,0.04857536777853970,0.02042633295059200,0.046762339770793900,0.04356667399406430,0.053821861743927,0.06240469217300420,0.05635742470622060,-0.004364997148513790,0.42944785952568100,0.005310773849487310,0.05381622165441510,-0.07836641371250150,0.130308598279953,-0.027479276061058000,0.04694543406367300,0.05610591173172000,0.052392229437828100,-0.034118831157684300,0.049799274653196300,-0.07622380554676060,0.07134602218866350,0.002493947744369510,0.053346842527389500,0.01767641305923460,0.06948615610599520,0.07918024063110350,0.04463958740234380,0.0404076874256134,0.0523771271109581,11.480999946594200,10.956999778747600,10.831999778747600
200.448763,-48.170532,0.3417856693267820,-6.130682945251470,-0.3233247399330140,-49.772525787353500,-0.22529113292694100,0.020158562809228900,-0.020208701491355900,0.029852692037820800,-0.08999091386795040,0.04483023285865780,0.30145058035850500,0.035576969385147100,0.09337282180786130,0.026630256325006500,0.1131182461977010,0.027166979387402500,0.12504267692565900,0.03291422128677370,0.0817418247461319,0.028865233063697800,0.13882982730865500,0.7093029022216800,0.028939545154571500,0.031222013756632800,0.08793279528617860,0.05132124945521360,0.05505000054836270,0.031954918056726500,0.026698052883148200,0.035680029541254000,0.17010360956192000,0.030425820499658600,-0.1278357207775120,0.10822071135044100,-0.00016421079635620100,0.03860168904066090,-0.039789944887161300,0.036652348935604100,0.08985698223114010,0.026547230780124700,0.00247269868850708,0.030609047040343300,11.444999694824200,10.843999862670900,10.732000350952100
200.475002,-47.410236,0.1634700894355770,-3.6803557872772200,0.34259968996048000,-23.130495071411100,-0.680412769317627,0.050367001444101300,0.13119953870773300,0.07293294370174410,0.13061809539794900,0.06616576761007310,0.12821078300476100,0.09201407432556150,0.40046679973602300,0.081637904047966,0.31537631154060400,0.06700064241886140,0.3004663586616520,0.07833849638700490,0.24080103635788000,0.061487916857004200,0.0507548451423645,0.7852312922477720,0.3134823143482210,0.061948858201503800,0.2593182623386380,0.11986909061670300,0.17772632837295500,0.06893967092037200,0.11233127117157000,0.12081996351480500,0.22205021977424600,0.08648259937763210,0.06175261735916140,0.12768511474132500,-0.1658753752708440,0.15847806632518800,-0.1593952775001530,0.09023850411176680,-0.005064845085144040,0.16993944346904800,0.07846260070800780,0.0704285204410553,12.647000312805200,12.112000465393100,12.010000228881800
200.532896,-47.329327,0.06151260808110240,-6.0270466804504400,-2.0225043296814000,16.748779296875,-0.3148747980594640,0.024118877947330500,0.06589293479919430,0.030832264572382000,0.075935959815979,0.03801123797893520,0.17939426004886600,0.03160923346877100,0.2546086013317110,0.035969000309705700,0.27234575152397200,0.03859984874725340,0.24882259964942900,0.0626479983329773,0.1704549491405490,0.034741658717393900,0.23343846201896700,0.3529447913169860,0.261479914188385,0.030693549662828400,0.2601146399974820,0.05737246945500370,0.09632934629917150,0.034596819430589700,0.15358921885490400,0.049138352274894700,0.3625256419181820,0.09826748073101040,-0.002624332904815670,0.060987986624240900,0.021678894758224500,0.0393088199198246,-0.07280460000038150,0.03897562623023990,0.06942436099052430,0.07059372216463090,0.05694615840911870,0.03361785411834720,12.729000091552700,11.98900032043460,11.939000129699700
